City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Sorong,ID,77.58,broken clouds,-0.8833,131.25,Waigo Splash Hotel
222,Kushima,JP,78.39,broken clouds,31.4583,131.2333,Hanaoka
223,Eydhafushi,MV,81.05,scattered clouds,5.1033,73.0708,Soneva Fushi
227,Panama City,PA,89.55,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
230,Dongzhen,CN,76.55,moderate rain,22.3797,110.9389,茂名中汇时尚酒店
233,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
234,Surt,LY,82.18,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
239,Tautira,PF,76.23,moderate rain,-17.7333,-149.15,Pension Oaoa
240,Korla,CN,88.9,scattered clouds,41.7597,86.1469,Gulisitan Hotel
245,Freeport,US,87.31,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
247,Butaritari,KI,81.32,light rain,3.0707,172.7902,Isles Sunset Lodge
249,Narasannapeta,IN,79.18,overcast clouds,18.4167,84.05,AVK events and catering
250,Warri,NG,76.84,overcast clouds,5.5167,5.75,GT Guesthouse
252,Bocas Del Toro,PA,80.69,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
253,Thiruvananthapuram,IN,80.58,mist,8.4833,76.9167,Hotel Residency Tower
254,Harper,LR,75.65,overcast clouds,4.375,-7.7169,Screensaver
255,Kudahuvadhoo,MV,81.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
257,Taybad,IR,77.7,clear sky,34.74,60.7756,لی پوش jean center
258,Balkanabat,TM,87.08,clear sky,39.5108,54.3671,Nebitchi Hotel
259,Gushikawa,JP,83.43,haze,26.3544,127.8686,Kirari Guest House
260,Banda Aceh,ID,78.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
263,Tiarei,PF,78.82,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
265,Touros,BR,80.02,clear sky,-5.1989,-35.4608,INN NEW HORIZON
266,Tarauaca,BR,82.71,scattered clouds,-8.1614,-70.7656,Flat Temporada
272,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
274,Negombo,LK,80.65,clear sky,7.2083,79.8358,Hotel Sunset Beach
275,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
278,Banjar,ID,75.54,scattered clouds,-8.19,114.9675,The Hamsa Resort
279,Shevchenkove,UA,81.79,overcast clouds,49.6959,37.1735,Hotelʹ Komunalʹnoho Pidpryyemstva Akva
282,Laguna,US,83.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
283,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
284,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
286,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
287,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
290,Suffolk,US,84.58,overcast clouds,40.8668,-72.7996,Greenwood Village
298,Sur,OM,86.83,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
304,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
313,Sinnamary,GF,82.9,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Wad Rawah,SD,86.56,overcast clouds,15.1603,33.1397,حوش جلي ودراوة
319,Panacan,PH,78.24,overcast clouds,9.2463,118.4082,Mom's Place Resort
321,Namatanai,PG,78.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
323,Westport,US,87.73,broken clouds,41.1415,-73.3579,The Westport Inn
326,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
327,Asyut,EG,89.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
329,Papara,BR,85.96,clear sky,-3.9839,-38.7273,CAMPOS MARANGUAPE
332,Sibolga,ID,75.4,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
347,Sao Joao Da Barra,BR,86.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
348,Eyl,SO,77.54,overcast clouds,7.9803,49.8164,Amiin Hotel
350,Pierre,US,86.92,clear sky,44.3683,-100.351,Ramkota Hotel
354,Jackson,US,78.15,clear sky,42.4165,-122.8345,Agate Village Apartments
357,Yarmouth,US,77.14,overcast clouds,41.7057,-70.2286,Blue Rock Resort
359,Kieta,PG,78.87,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
360,Brokopondo,SR,88.97,overcast clouds,4.75,-55.1667,Matu Island
361,Show Low,US,78.08,broken clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
362,Makaha,US,81.73,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
363,Miles City,US,85.17,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
365,Mogadishu,SO,76.15,overcast clouds,2.0371,45.3438,Hotel Juba
366,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
369,Kamaishi,JP,75.65,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
370,Laguna De Perlas,NI,86.09,overcast clouds,12.3429,-83.6712,Hotel Best View
371,Kandrian,PG,75.96,light rain,-6.2167,149.55,Kandrian Station
372,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
