City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Upernavik,GL,72.7868,-56.1549,40.57,86,99,8.01,overcast clouds
79,Deputatskiy,RU,69.3,139.9,50.52,86,73,1.41,broken clouds
80,Qaanaaq,GL,77.484,-69.3632,38.43,63,65,2.24,broken clouds
81,Sesheke,ZM,-17.4759,24.2968,68.2,22,0,2.75,clear sky
82,Cabedelo,BR,-6.9811,-34.8339,83.07,74,5,12.28,clear sky
83,Sulphur,US,30.2366,-93.3774,91.99,61,0,6.91,clear sky
84,Castro,BR,-24.7911,-50.0119,47.05,91,100,13.44,overcast clouds
85,Port Elizabeth,ZA,-33.918,25.5701,59.31,92,0,5.75,clear sky
86,Urucui,BR,-7.2294,-44.5561,99.45,14,5,3.8,clear sky
87,Preobrazheniye,RU,42.9019,133.9064,66.51,89,83,6.8,broken clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,45.43,83,100,25.72,light rain
89,Georgetown,MY,5.4112,100.3354,81.9,85,20,0.0,few clouds
90,Tyup,KG,42.7276,78.3648,58.39,69,8,6.15,clear sky
91,Saskylakh,RU,71.9167,114.0833,48.02,80,73,12.62,broken clouds
92,Kavieng,PG,-2.5744,150.7967,79.47,79,100,3.33,overcast clouds
93,Itoman,JP,26.1247,127.6694,84.22,82,40,4.61,haze
94,Tamandare,BR,-8.7597,-35.1047,78.39,66,2,5.61,clear sky
95,Kruisfontein,ZA,-34.0033,24.7314,55.89,91,97,4.81,overcast clouds
96,Linxia,CN,35.6003,103.2064,69.08,87,97,2.64,overcast clouds
97,Radcliff,US,37.8404,-85.9491,83.12,74,75,5.75,broken clouds
98,Avarua,CK,-21.2078,-159.775,69.85,83,1,4.61,clear sky
99,Mar Del Plata,AR,-38.0023,-57.5575,57.94,57,75,11.5,broken clouds
100,Erzin,TR,36.9559,36.2,77.18,82,84,5.46,broken clouds
101,Bonfim,BR,3.0833,-59.95,92.01,45,23,4.27,few clouds
102,Te Anau,NZ,-45.4167,167.7167,32.29,94,36,3.53,scattered clouds
103,Ambilobe,MG,-13.2,49.05,68.13,73,4,5.53,clear sky
104,Airai,TL,-8.9266,125.4092,56.75,58,93,2.1,overcast clouds
105,Luocheng,CN,29.3848,104.0286,76.86,93,100,2.89,overcast clouds
106,Khatanga,RU,71.9667,102.5,45.48,65,100,13.53,overcast clouds
107,Elizabeth City,US,36.2946,-76.2511,97.0,55,0,14.97,clear sky
108,Garden City,US,42.3256,-83.331,85.21,49,40,6.91,scattered clouds
109,Mataura,NZ,-46.1927,168.8643,36.05,94,88,2.15,overcast clouds
110,Avera,US,33.194,-82.5271,89.11,57,100,7.25,overcast clouds
111,Aksarka,RU,66.5606,67.7975,49.35,67,55,5.88,broken clouds
112,Kodiak,US,57.79,-152.4072,56.71,88,100,0.0,overcast clouds
113,Itarema,BR,-2.9248,-39.9167,81.41,67,3,18.41,clear sky
114,Pangai,TO,-19.8,-174.35,78.91,94,20,5.75,few clouds
115,Labuhan,ID,-6.8844,112.2051,77.36,88,65,6.33,broken clouds
